word,count,pred,truth,category
دِينِي,2,دي | ني,دين | ي,wrong_content
مَسَّتْهُ,2,مست | ه,مس | ت | ه,too_few_segments
وَزِينَتَهَا,2,و | زين | ة | ها,و | زين | ت | ها,wrong_content
كِتَابُ,2,ك | تاب,كتاب,too_many_segments
يُضَاعَفُ,2,يضاعف,ي | ضاعف,too_few_segments
وَآتَانِي,2,و | آتا | ني,و | آتا | ن | ي,too_few_segments
يَنْصُرُنِي,2,ي | نصر | ني,ي | نصر | ن | ي,too_few_segments
افْتَرَيْتُهُ,2,افتري | ة | ه,افتري | ت | ه,wrong_content
تُخَاطِبْنِي,2,ت | خاطب | ني,ت | خاطب | ن | ي,too_few_segments
بِسْمِ,2,ب | اسم,ب | Iسم,wrong_content
تَدْعُونَا,2,ت | دعو | نا,ت | دع | و | نا,too_few_segments
وَامْرَأَتُهُ,2,و | امرأ | ة | ه,و | امرأ | ت | ه,wrong_content
سِيءَ,2,س | يء,سيء,too_many_segments
تُخْزُونِ,2,ت | خز | ون,ت | خز | و | ن,too_few_segments
يَلْتَفِتْ,2,ي | لتف | ت,ي | لتفت,too_many_segments
امْرَأَتَكَ,2,امرأ | ة | ك,امرأ | ت | ك,wrong_content
أُنِيبُ,2,أنيب,أ | نيب,too_few_segments
وَرَاءَكُمْ,2,و | راء | كم,وراء | كم,too_many_segments
فَعَّالٌ,2,ف | عال,فعال,too_many_segments
فُؤَادَكَ,2,ف | ؤاد | ك,فؤاد | ك,too_many_segments
فَاعْبُدْهُ,2,ف | اعبد | ه,ف | ا | عبد | ه,too_few_segments
غَيَابَتِ,2,غيابت,غياب | ت,too_few_segments
يَبْكُونَ,2,ي | بك | ون,ي | بك | و | ن,too_few_segments
نَتَّخِذَهُ,2,نتخذ | ه,ن | تخذ | ه,too_few_segments
وَقُلْنَ,2,و | قلن,و | قل | ن,too_few_segments
رَاوَدْتُهُ,2,راود | ة | ه,راود | ت | ه,wrong_content
وَأَكُنْ,2,و | أكن,و | أ | كن,too_few_segments
أَرَانِي,2,أرا | ني,أ | را | ن | ي,too_few_segments
سُنْبُلَاتٍ,2,س | نبل | ات,سنبل | ات,too_many_segments
يَابِسَاتٍ,2,يا | بس | ات,يابس | ات,too_many_segments
أَفْتُونِي,2,أفتو | ني,أفت | و | ن | ي,too_few_segments
بِتَأْوِيلِ,2,ب | ت | أويل,ب | تأويل,too_many_segments
بَالُ,2,ب | ال,بال,too_many_segments
اجْعَلْنِي,2,اجعل | ني,ا | جعل | ن | ي,too_few_segments
وَلَأَجْرُ,2,و | لأجر,و | ل | أجر,too_few_segments
بِضَاعَتَهُمْ,2,ب | ضاع | ة | هم,بضاع | ت | هم,too_many_segments
رُدَّتْ,2,ردت,رد | ت,too_few_segments
وِعَاءِ,2,و | عاء,وعاء,too_many_segments
فَعَلْتُمْ,2,ف | عل | تم,فعل | تم,too_many_segments
أَإِنَّكَ,2,أإن | ك,أ | أن | ك,too_few_segments
فَأَلْقُوهُ,2,ف | ألقو | ه,ف | ألق | و | ه,too_few_segments
وَأْتُونِي,2,وأتو | ني,و | أت | و | ن | ي,too_few_segments
أَبَوَيْهِ,2,أبوي | ه,أبو | ي | ه,too_few_segments
تَأْوِيلُ,2,ت | أويل,تأويل,too_many_segments
فَاطِرَ,2,ف | اطر,فاطر,too_many_segments
وَأَلْحِقْنِي,2,و | ألحق | ني,و | ألحق | ن | ي,too_few_segments
وَلَدَارُ,2,و | لدار,و | ل | دار,too_few_segments
كَفَّيْهِ,2,كفي | ه,كف | ي | ه,too_few_segments
لَافْتَدَوْا,2,لافتد | وا,ل | افتد | وا,too_few_segments
سُيِّرَتْ,2,س | ير | ت,سير | ت,too_many_segments
أَخَذْتُهُمْ,2,أخذ | ة | هم,أخذ | ت | هم,wrong_content
أَفِي,2,أفي,أ | في,too_few_segments
وَرَائِهِ,2,و | رائ | ه,ورائ | ه,too_many_segments
تَحِيَّتُهُمْ,2,ت | حيت | هم,تحي | ة | هم,wrong_content
كَشَجَرَةٍ,2,كشجر | ة,ك | شجر | ة,too_few_segments
تَعُدُّوا,2,تعد | وا,ت | عد | وا,too_few_segments
تُحْصُوهَا,2,ت | حصو | ها,ت | حص | و | ها,too_few_segments
وَلِوَالِدَيَّ,2,و | ل | والدي,و | ل | والد | ي,too_few_segments
وُجُوهَهُمُ,2,و | جوه | هم,وجوه | هم,too_many_segments
سُنَّةُ,2,س | نة,سن | ة,wrong_content
وَزَيَّنَّاهَا,2,و | زي | نا | ها,و | زين | نا | ها,wrong_content
سَوَّيْتُهُ,2,سوي | ة | ه,سوي | ت | ه,wrong_content
فَأَنْظِرْنِي,2,ف | أنظر | ني,ف | أنظر | ن | ي,too_few_segments
ادْخُلُوهَا,2,ادخلو | ها,ا | دخل | و | ها,too_few_segments
تَمُدَّنَّ,2,ت | مدن,ت | مد | ن,too_few_segments
عَيْنَيْكَ,2,عي | ني | ك,عين | ي | ك,wrong_content
فَوَرَبِّكَ,2,ف | ورب | ك,ف | و | رب | ك,too_few_segments
الْيَقِينُ,2,ال | يق | ين,ال | يقين,too_many_segments
تَلْبَسُونَهَا,2,ت | لبسون | ها,ت | لبس | ون | ها,too_few_segments
تَتَوَفَّاهُمُ,2,تتوفا | هم,ت | توفا | هم,too_few_segments
لَنُبَوِّئَنَّهُمْ,2,لنبوئن | هم,ل | ن | بوئ | ن | هم,too_few_segments
لَتُسْأَلُنَّ,2,لتسألن,ل | ت | سأل | ن,too_few_segments
يُؤَاخِذُ,2,يؤاخذ,ي | ؤاخذ,too_few_segments
أَفَبِالْبَاطِلِ,2,أفبالباطل,أ | ف | ب | ال | باطل,too_few_segments
وَالْمِسْكِينَ,2,و | ال | مسك | ين,و | ال | مسكين,too_many_segments
تَمْشِ,2,تمش,ت | مش,too_few_segments
بِالْبَنِينَ,2,ب | ال | بن | ين,ب | ال | بنين,too_many_segments
يَزِيدُهُمْ,2,يزيد | هم,ي | زيد | هم,too_few_segments
نَجْوَى,2,ن | جوى,نجوى,too_many_segments
وَتَظُنُّونَ,2,و | تظن | ون,و | ت | ظن | ون,too_few_segments
رَحْمَتَهُ,2,رحم | ة | ه,رحم | ت | ه,wrong_content
ذُرِّيَّتَهُ,2,ذري | ة | ه,ذر | ي | ت | ه,too_few_segments
أَقِمِ,2,أقم,أ | قم,too_few_segments
لَأَظُنُّكَ,2,لأظن | ك,ل | أ | ظن | ك,too_few_segments
فَلْيَنْظُرْ,2,فلينظر,ف | ل | ي | نظر,too_few_segments
جَنَّتَيْنِ,2,جنت | ين,جن | ت | ين,too_few_segments
الْجَنَّتَيْنِ,2,ال | جنت | ين,ال | جن | ة | ين,too_few_segments
يُحَاوِرُهُ,2,يحاور | ه,ي | حاور | ه,too_few_segments
أُشْرِكُ,2,أشر | ك,أ | شرك,wrong_content
يَنْصُرُونَهُ,2,ي | نصرون | ه,ي | نصر | ون | ه,too_few_segments
فَدَعَوْهُمْ,2,ف | دعو | هم,ف | دع | و | هم,too_few_segments
أُنْذِرُوا,2,أنذر | وا,أ | نذر | وا,too_few_segments
نَسِيتُ,2,ن | سيت,نسي | ت,wrong_content
فَوَجَدَا,2,ف | وجدا,ف | وجد | ا,too_few_segments
وَرَاءَهُمْ,2,و | راء | هم,وراء | هم,too_many_segments
وَجَدَهَا,2,و | جد | ها,وجد | ها,too_many_segments
آتُونِي,2,آتو | ني,آت | و | ن | ي,too_few_segments
وَلِقَائِهِ,2,و | ل | قائ | ه,و | لقائ | ه,too_many_segments
رَحْمَتِ,2,رحمت,رحم | ة,too_few_segments
امْرَأَتِي,2,امرأ | ة | ي,امرأ | ت | ي,wrong_content
لَيَالٍ,2,ل | يال,ليال,too_many_segments
وَبَرَّاً,2,وبر | ا,و | بر | ا,too_few_segments
تَحْزَنِي,2,ت | حز | ني,ت | حز | ن | ي,too_few_segments
آتَانِيَ,2,آتا | ني,آتا | ن | ي,too_few_segments
جَاءَنِي,2,جاء | ني,جاء | ن | ي,too_few_segments
لِسَانَ,2,ل | سان,لسان,too_many_segments
وَالشَّيَاطِينَ,2,و | ال | شياط | ين,و | ال | شياطين,too_many_segments
فَلْيَمْدُدْ,2,فليمدد,ف | ل | ي | مدد,too_few_segments
بِعِبَادَتِهِمْ,2,ب | عباد | ة | هم,ب | عباد | ت | هم,wrong_content
عَدَّاً,2,عدا,عد | ا,too_few_segments
يَتَفَطَّرْنَ,2,يتفطرن,ي | تفطر | ن,too_few_segments
وَلِيَ,2,و | ل | ي,ولي,too_many_segments
لِسَانِي,2,ل | سا | ني,لسان | ي,too_many_segments
وَزِيرَاً,2,و | زير | ا,وزير | ا,too_many_segments
اذْهَبَا,2,اذهبا,ا | ذهب | ا,too_few_segments
هَذَانِ,2,هذان,هذ | ان,too_few_segments
ائْتُوا,2,ائ | ت | وا,ا | ئت | وا,wrong_content
فَأُلْقِيَ,2,ف | ألق | ي,ف | ألقي,too_many_segments
لَكَبِيرُكُمُ,2,لكبير | كم,ل | كبير | كم,too_few_segments
وَلَأُصَلِّبَنَّكُمْ,2,و | لأصلبن | كم,و | ل | أ | صلب | ن | كم,too_few_segments
وَلَتَعْلَمُنَّ,2,و | لتعلمن,و | ل | ت | علم | ن,too_few_segments
أَسْرِ,2,أسر,أ | سر,too_few_segments
لِزَامَاً,2,ل | زام | ا,لزام | ا,too_many_segments
فَنَتَّبِعَ,2,ف | نتبع,ف | ن | تبع,too_few_segments
نَتَّخِذَ,2,نتخذ,ن | تخذ,too_few_segments
يَرَ,2,ير,ي | ر,too_few_segments
يَتَّخِذُونَكَ,2,يتخذون | ك,ي | تخذ | و | ن | ك,too_few_segments
أَهَذَا,2,أهذا,أ | هذا,too_few_segments
أَتَيْنَا,2,أ | ت | ينا,أتي | نا,too_many_segments
بِآلِهَتِنَا,2,ب | آله | ة | نا,ب | آله | ت | نا,wrong_content
حَرِّقُوهُ,2,حرقو | ه,حرق | و | ه,too_few_segments
يُسَبِّحْنَ,2,ي | سبحن,ي | سبح | ن,too_few_segments
فَنَفَخْنَا,2,ف | ن | فخ | نا,ف | نفخ | نا,too_many_segments
أُمَّتُكُمْ,2,أمت | كم,أم | ت | كم,too_few_segments
فُتِحَتْ,2,ف | تحت,فتح | ت,wrong_content
أَقَرِيبٌ,2,أقريب,أ | قريب,too_few_segments
يُتَوَفَّى,2,يتوفى,ي | توفى,too_few_segments
خَصْمَانِ,2,خصمان,خصم | ان,too_few_segments
وَلِبَاسُهُمْ,2,و | ل | باس | هم,و | لباس | هم,too_many_segments
تَعُدُّونَ,2,تعد | ون,ت | عد | ون,too_few_segments
سَعَوْا,2,سع | وا,سع | و | ا,too_few_segments
وَادْعُ,2,و | ادع,و | ا | دع,too_few_segments
فَتَبَارَكَ,2,ف | تبار | ك,ف | تبارك,too_many_segments
فَوَاكِهُ,2,ف | واك | ه,فواكه,too_many_segments
لَأَنْزَلَ,2,لأنزل,ل | أنزل,too_few_segments
تَشْرَبُونَ,2,ت | شرب | ون,ت | شرب | و | ن,too_few_segments
هَيْهَاتَ,2,هيه | ات,هيهات,too_many_segments
فَكَذَّبُوهُمَا,2,ف | كذبو | هما,ف | كذب | و | هما,too_few_segments
وَلَدَيْنَا,2,و | لدي | نا,و | لدى | نا,wrong_content
أَتَيْنَاهُمْ,2,أ | ت | ينا | هم,أتي | نا | هم,too_many_segments
يَدْعُ,2,يدع,ي | دع,too_few_segments
سَمِعْتُمُوهُ,2,سمع | تمو | ه,سمع | تم | و | ه,too_few_segments
وَيَعْلَمُونَ,2,و | ي | علم | ون,و | ي | علم | و | ن,too_few_segments
فُرُوجَهُمْ,2,ف | روج | هم,فروج | هم,too_many_segments
يُبْدِينَ,2,ي | بد | ين,ي | بدي | ن,wrong_content
زِينَتَهُنَّ,2,زين | ة | هن,زين | ت | هن,wrong_content
بُعُولَتِهِنَّ,2,بعول | ة | هن,بعول | ت | هن,wrong_content
وَآتُوهُمْ,2,و | آتو | هم,و | آت | و | هم,too_few_segments
وَيَزِيدَهُمْ,2,و | يزيد | هم,و | ي | زيد | هم,too_few_segments
أَذَلِكَ,2,أذل | ك,أ | ذلك,wrong_content
تَشَقَّقُ,2,ت | شقق,تشقق,too_many_segments
يَرَوْنَهَا,2,يرون | ها,ي | ر | و | ن | ها,too_few_segments
فُرَاتٌ,2,ف | رات,فرات,too_many_segments
يُضَاعَفْ,2,يضاعف,ي | ضاعف,too_few_segments
كِرَامَاً,2,ك | رام | ا,كرام | ا,too_many_segments
يُكَذِّبُونِ,2,ي | كذب | ون,ي | كذب | و | ن,too_few_segments
فَأَخَافُ,2,ف | أخاف,ف | أ | خاف,too_few_segments
وَأُزْلِفَتِ,2,و | أزلفت,و | أزلف | ت,too_few_segments
وَبُرِّزَتِ,2,و | برزت,و | برز | ت,too_few_segments
لَتَكُونَنَّ,2,لتكونن,ل | ت | كون | ن,too_few_segments
أَمَدَّكُمْ,2,أمد | كم,أ | مد | كم,too_few_segments
يُصْلِحُونَ,2,ي | صلح | ون,ي | صلح | و | ن,too_few_segments
نَجِّنِي,2,نج | ني,نج | ن | ي,too_few_segments
الْأَمِينُ,2,ال | أم | ين,ال | أمين,too_many_segments
أَفَبِعَذَابِنَا,2,أفبعذاب | نا,أ | ف | ب | عذاب | نا,too_few_segments
تَصْطَلُونَ,2,ت | صطل | ون,ت | صطل | و | ن,too_few_segments
أَوْزِعْنِي,2,أوزع | ني,أوزع | ن | ي,too_few_segments
أَشْكُرَ,2,أشكر,أ | شكر,too_few_segments
نِعْمَتَكَ,2,ن | عمت | ك,نعم | ت | ك,wrong_content
وَالِدَيَّ,2,و | ال | دي,والد | ي,too_many_segments
أَعْمَلَ,2,أعمل,أ | عمل,too_few_segments
بِنَبَإٍ,2,ب | نبإ,ب | نبأ,wrong_content
أَئِنَّا,2,أئن | نا,أ | ئن | نا,too_few_segments
ضَلَالَتِهِمْ,2,ضلال | ة | هم,ضلال | ت | هم,wrong_content
يَتَرَقَّبُ,2,يترقب,ي | ترقب,too_few_segments
قَالَتَا,2,قالتا,قال | ت | ا,too_few_segments
لِسَانَاً,2,ل | سان | ا,لسان | ا,too_many_segments
لَأَظُنُّهُ,2,لأظن | ه,ل | أ | ظن | ه,too_few_segments
تَظَاهَرَا,2,تظاهرا,تظاهر | ا,too_few_segments
مَسَاكِنُهُمْ,2,مسا | كن | هم,مساكن | هم,too_many_segments
أَهْلَكَ,2,أهل | ك,أهلك,too_many_segments
جَاهَدَاكَ,2,جاهدا | ك,جاهد | ا | ك,too_few_segments
فَأُنَبِّئُكُمْ,2,ف | أنبئ | كم,ف | أ | نبئ | كم,too_few_segments
أَوَلَيْسَ,2,أوليس,أ | و | ليس,too_few_segments
يَئِسُوا,2,ي | ئس | وا,يئس | وا,too_many_segments
وَمَأْوَاكُمُ,2,و | مأ | وا | كم,و | مأوا | كم,too_many_segments
لَمُحْيِي,2,لمحي | ي,ل | محيي,wrong_content
مَعْذِرَتُهُمْ,2,معذر | ة | هم,معذر | ت | هم,wrong_content
فَخُورٍ,2,ف | خور,فخور,too_many_segments
تَرَوْا,2,ت | روا,ت | ر | وا,too_few_segments
بِنِعْمَتِ,2,ب | ن | عمت,ب | نعم | ة,wrong_content
تَغُرَّنَّكُمُ,2,ت | غرن | كم,ت | غر | ن | كم,too_few_segments
يَغُرَّنَّكُمْ,2,ي | غرن | كم,ي | غر | ن | كم,too_few_segments
نَسِيتُمْ,2,ن | سي | تم,نسي | تم,too_many_segments
وَلَنُذِيقَنَّهُمْ,2,و | لنذيقن | هم,و | ل | ن | ذيق | ن | هم,too_few_segments
اللَّائِي,2,اللائي,ال | لائي,too_few_segments
تُرِدْنَ,2,تردن,ت | رد | ن,too_few_segments
بُيُوتِكُنَّ,2,بيو | ة | كن,بيوت | كن,too_many_segments
أَمْسِكْ,2,أمس | ك,أمسك,too_many_segments
لِسُنَّةِ,2,ل | س | نة,ل | سن | ة,wrong_content
يَلِجُ,2,يلج,ي | لج,too_few_segments
الْمُهِينِ,2,ال | مه | ين,ال | مهين,too_many_segments
مُتْرَفُوهَا,2,مترفو | ها,مترف | و | ها,too_few_segments
تَضَعُ,2,تضع,ت | ضع,too_few_segments
يَتَزَكَّى,2,يتزكى,ي | تزكى,too_few_segments
أَرُونِي,2,أرو | ني,أ | ر | و | ن | ي,too_few_segments
سُنَّتَ,2,س | نت,سن | ة,wrong_content
لِسُنَّتِ,2,ل | س | نت,ل | سن | ة,wrong_content
شَفَاعَتُهُمْ,2,شفاع | ة | هم,شفاع | ت | هم,wrong_content
اصْلَوْهَا,2,اصلو | ها,ا | صل | و | ها,too_few_segments
فَاسْتَفْتِهِمْ,2,ف | استف | ة | هم,ف | استفت | هم,too_many_segments
أَوَآبَاؤُنَا,2,أوآباؤ | نا,أ | و | آباؤ | نا,too_few_segments
مَجْنُونٍ,2,مجن | ون,مجنون,too_many_segments
كَأَنَّهُنَّ,2,كأن | هن,ك | أن | هن,too_few_segments
مَكْنُونٌ,2,مكن | ون,مكنون,too_many_segments
لَكُنْتُ,2,لكن | ت,ل | كن | ت,too_few_segments
لَآكِلُونَ,2,لآكل | ون,ل | آكل | ون,too_few_segments
الْبُطُونَ,2,ال | بط | ون,ال | بطون,too_many_segments
بِالْيَمِينِ,2,ب | ال | يم | ين,ب | ال | يمين,too_many_segments
ذُرِّيَّتِهِمَا,2,ذري | ة | هما,ذر | ي | ت | هما,too_few_segments
لَمُحْضَرُونَ,2,لمحضر | ون,ل | محضر | ون,too_few_segments
وَلَدَ,2,و | لد,ولد,too_many_segments
فَنَادَوْا,2,ف | ن | اد | وا,ف | ناد | وا,too_many_segments
لَزُلْفَى,2,لزلفى,ل | زلفى,too_few_segments
لِلطَّاغِينَ,2,ل | ال | طاغ | ين,ل | ال | طاغي | ين,wrong_content
وَأَهْلِيهِمْ,2,و | أهلي | هم,و | أهل | ي | هم,too_few_segments
فَتَرَاهُ,2,ف | ت | راه,ف | ت | را | ه,too_few_segments
لَذِكْرَى,2,لذكرى,ل | ذكرى,too_few_segments
وَسِيقَ,2,و | س | يق,و | سيق,too_many_segments
يُنَادَوْنَ,2,ي | ناد | ون,ي | ناد | و | ن,too_few_segments
تُدْعَوْنَ,2,ت | دع | ون,ت | دع | و | ن,too_few_segments
ابْنِ,2,ابن,ا | بن,too_few_segments
أَدْعُوكُمْ,2,أدعو | كم,أ | دعو | كم,too_few_segments
تَدْعُونَنِي,2,ت | دعون | ني,ت | دع | ون | ي,too_few_segments
تَدَّعُونَ,2,ت | دع | ون,ت | دع | و | ن,too_few_segments
يَنْصُرُونَهُمْ,2,ي | نصرون | هم,ي | نصر | ون | هم,too_few_segments
لَجَعَلْنَا,2,لجعل | نا,ل | جعل | نا,too_few_segments
فَاكِهِينَ,2,ف | اكه | ين,فاكه | ين,too_many_segments
خُذُوهُ,2,خذو | ه,خذ | و | ه,too_few_segments
وَغَرَّتْكُمُ,2,و | غرت | كم,و | غر | ت | كم,too_few_segments
سَبَقُونَا,2,سبقو | نا,سبق | و | نا,too_few_segments
خَلَتِ,2,خلت,خل | ت,too_few_segments
رَأَوْهُ,2,رأو | ه,رأ | و | ه,too_few_segments
يُرَى,2,يرى,ي | ري,too_few_segments
دَاعِيَ,2,داع | ي,داعي,too_many_segments
بَالَهُمْ,2,ب | ال | هم,بال | هم,too_many_segments
يُبَايِعُونَكَ,2,يبايعون | ك,ي | بايع | و | ن | ك,too_few_segments
تَذَرُ,2,تذر,ت | ذر,too_few_segments
فَلْيَأْتُوا,2,فليأ | ت | وا,ف | ل | ي | أت | وا,too_few_segments
بَالِغَةٌ,2,ب | ال | غة,بالغ | ة,too_many_segments
عَيْنَانِ,2,عينان,عين | ان,too_few_segments
وَقَعَتِ,2,و | قعت,وقع | ت,wrong_content
وَظِلٍّ,2,وظل,و | ظل,too_few_segments
بَلَغَتِ,2,بلغت,بلغ | ت,too_few_segments
يَتَمَاسَّا,2,يتماسا,ي | تماس | ا,too_few_segments
وَمَعْصِيَتِ,2,و | معصيت,و | معصي | ت,too_few_segments
نَجْوَاكُمْ,2,ن | جوا | كم,نجوا | كم,too_many_segments
يُوقَ,2,يوق,ي | وق,too_few_segments
سَيِّئَاتِهِ,2,س | يئ | ات | ه,سيئ | ات | ه,too_many_segments
امْرَأَتَ,2,امرأت,امرأ | ة,too_few_segments
بِنِعْمَةِ,2,ب | ن | عم | ة,ب | نعم | ة,too_many_segments
بِمَجْنُونٍ,2,ب | مجن | ون,ب | مجنون,too_many_segments
لَضَالُّونَ,2,لضال | ون,ل | ضال | ون,too_few_segments
كِتَابِيَهْ,2,ك | تابي | ه,كتاب | ي | ه,wrong_content
حِسَابِيَهْ,2,حسابي | ه,حساب | ي | ه,too_few_segments
لَقَوْلُ,2,لقول,ل | قول,too_few_segments
وَصَاحِبَتِهِ,2,و | صاحب | ة | ه,و | صاحب | ت | ه,wrong_content
دَعَوْتُهُمْ,2,دعو | ة | هم,دعو | ت | هم,wrong_content
تَذَرُنَّ,2,تذرن,ت | ذر | ن,too_few_segments
تَزِدِ,2,تزد,ت | زد,too_few_segments
ظَنَنَّا,2,ظنن | نا,ظن | نا,wrong_content
وَاذْكُرِ,2,و | اذكر,و | ا | ذكر,too_few_segments
تَيَسَّرَ,2,ت | يسر,تيسر,too_many_segments
نَكُ,2,نك,ن | ك,too_few_segments
انْطَلِقُوا,2,ا | ن | طلق | وا,انطلق | وا,too_many_segments
كِذَّابَاً,2,ك | ذاب | ا,كذاب | ا,too_many_segments
جَاءَتِ,2,جاءت,جاء | ت,too_few_segments
يَزَّكَّى,2,يزكى,ي | زكى,too_few_segments
فَلْيَنْظُرِ,2,فلينظر,ف | ل | ي | نظر,too_few_segments
يُكَذِّبُونَ,2,ي | كذب | ون,ي | كذب | و | ن,too_few_segments
وَحُقَّتْ,2,و | حقت,و | حق | ت,too_few_segments
وَلَسَوْفَ,2,و | لسوف,و | ل | سوف,too_few_segments
الْبَرِيَّةِ,2,ال | بري | ة,ال | بر | ي | ة,too_few_segments
كَصَيِّبٍ,1,كصيب,ك | صيب,too_few_segments
فَسَوَّاهُنَّ,1,ف | سوا | هن,ف | سوا | ه | ن,too_few_segments
أَنْبِئُونِي,1,أنبئو | ني,أنبئ | و | ن | ي,too_few_segments
عَلَّمْتَنَا,1,علم | ة | نا,علم | ت | نا,wrong_content
وَكُلَا,1,و | كلا,و | كل | ا,too_few_segments
أُوفِ,1,أوف,أ | وف,too_few_segments
يُذَبِّحُونَ,1,ي | ذبح | ون,ي | ذبح | و | ن,too_few_segments
فَرَقْنَا,1,ف | رق | نا,فرق | نا,too_many_segments
وَاعَدْنَا,1,و | اعد | نا,واعد | نا,too_many_segments
مَوْتِكُمْ,1,مو | ت | كم,موت | كم,too_many_segments
فَانْفَجَرَتْ,1,ف | ا | نفجر | ت,ف | انفجر | ت,too_many_segments
لَكُنْتُمْ,1,لكن | تم,ل | كن | تم,too_few_segments
يَدَيْهَا,1,يدي | ها,يد | ي | ها,too_few_segments
أَتَتَّخِذُنَا,1,أ | تتخذ | نا,أ | ت | تخذ | نا,too_few_segments
فَذَبَحُوهَا,1,ف | ذبحو | ها,ف | ذبح | و | ها,too_few_segments
اضْرِبُوهُ,1,اضربو | ه,ا | ضرب | و | ه,too_few_segments
يَتَفَجَّرُ,1,يتفجر,ي | تفجر,too_few_segments
يَشَّقَّقُ,1,يشقق,ي | شقق,too_few_segments
أَفَتَطْمَعُونَ,1,أفتطمع | ون,أ | ف | ت | طمع | ون,too_few_segments
يُحَرِّفُونَهُ,1,ي | حرفون | ه,ي | حرف | و | ن | ه,too_few_segments
عَقَلُوهُ,1,عقلو | ه,عقل | و | ه,too_few_segments
أَتُحَدِّثُونَهُمْ,1,أ | ت | حدثون | هم,أ | ت | حدث | ون | هم,too_few_segments
فَتَحَ,1,ف | تح,فتح,too_many_segments
لِيُحَاجُّوكُمْ,1,ل | ي | حاجو | كم,ل | ي | حاج | و | كم,too_few_segments
أُمِّيُّونَ,1,أمي | ون,أم | ي | ون,too_few_segments
أَمَانِيَّ,1,أما | ني,أماني,too_many_segments
أَتَّخَذْتُمْ,1,أتخذ | تم,أ | تخذ | تم,too_few_segments
خَطِيئَتُهُ,1,خطيئ | ة | ه,خطيئ | ت | ه,wrong_content
يَأْتُوكُمْ,1,ي | أتو | كم,ي | أت | و | كم,too_few_segments
تُفَادُوهُمْ,1,ت | فادو | هم,ت | فاد | و | هم,too_few_segments
أَفَتُؤْمِنُونَ,1,أفتؤمن | ون,أ | ف | ت | ؤمن | ون,too_few_segments
أَفَكُلَّمَا,1,أفكلما,أ | ف | كل | ما,too_few_segments
وَرَاءَهُ,1,و | راء | ه,وراء | ه,too_many_segments
يَتَمَنَّوْهُ,1,يتمنو | ه,ي | تمن | و | ه,too_few_segments
وَلَتَجِدَنَّهُمْ,1,و | لتجدن | هم,و | ل | ت | جد | ن | هم,too_few_segments
يَقُولَا,1,يقولا,ي | قول | ا,too_few_segments
انْظُرْنَا,1,انظر | نا,ا | نظر | نا,too_few_segments
نَأْتِ,1,نأ | ت,ن | أت,wrong_content
يَتَبَدَّلِ,1,يتبدل,ي | تبدل,too_few_segments
يَرُدُّونَكُمْ,1,ي | ردون | كم,ي | رد | و | ن | كم,too_few_segments
أَمَانِيُّهُمْ,1,أما | ني | هم,أماني | هم,too_many_segments
فَأَيْنَمَا,1,ف | أينما,ف | أين | ما,too_few_segments
تَتَّبِعَ,1,تتبع,ت | تبع,too_few_segments
مِلَّتَهُمْ,1,ملت | هم,مل | ت | هم,too_few_segments
يَتْلُونَهُ,1,ي | تلون | ه,ي | تل | ون | ه,too_few_segments
تِلَاوَتِهِ,1,تلاو | ة | ه,تلاو | ت | ه,wrong_content
طَهِّرَا,1,طهرا,طهر | ا,too_few_segments
فَأُمَتِّعُهُ,1,ف | أمتع | ه,ف | أ | متع | ه,too_few_segments
أَضْطَرُّهُ,1,أضطر | ه,أ | ضطر | ه,too_few_segments
تَقَبَّلْ,1,ت | قبل,تقبل,too_many_segments
ذُرِّيَّتِنَا,1,ذري | ة | نا,ذر | ي | ت | نا,too_few_segments
بَنِيهِ,1,بني | ه,بن | ي | ه,too_few_segments
وَيَعْقُوبُ,1,و | ي | عقوب,و | يعقوب,too_many_segments
لِبَنِيهِ,1,ل | بني | ه,ل | بن | ي | ه,too_few_segments
فَسَيَكْفِيكَهُمُ,1,ف | س | ي | كفيك | هم,ف | س | ي | كفي | كهم,wrong_content
أَتُحَاجُّونَنَا,1,أ | ت | حاجون | نا,أ | ت | حاج | ون | نا,too_few_segments
وَلَّاهُمْ,1,و | لا | هم,ولا | هم,too_many_segments
قِبْلَتِهِمُ,1,قبل | ة | هم,قبل | ت | هم,wrong_content
لِيُضِيعَ,1,ل | يضيع,ل | ي | ضيع,too_few_segments
تَقَلُّبَ,1,ت | قلب,تقلب,too_many_segments
فَلَنُوَلِّيَنَّكَ,1,ف | لنولين | ك,ف | ل | ن | ولي | ن | ك,too_few_segments
لَيَعْلَمُونَ,1,ليعلم | ون,ل | ي | علم | ون,too_few_segments
أَتَيْتَ,1,أ | تي | ت,أتي | ت,too_many_segments
تَبِعُوا,1,ت | ب | عوا,تبع | وا,too_many_segments
قِبْلَتَكَ,1,قبل | ة | ك,قبل | ت | ك,wrong_content
قِبْلَتَهُمْ,1,قبل | ة | هم,قبل | ت | هم,wrong_content
لَيَكْتُمُونَ,1,ليك | تم | ون,ل | ي | كتم | ون,too_few_segments
وَاخْشَوْنِي,1,و | اخشو | ني,و | ا | خش | و | ن | ي,too_few_segments
وَلِأُتِمَّ,1,و | ل | أتم,و | ل | أ | تم,too_few_segments
فَاذْكُرُونِي,1,ف | اذكرو | ني,ف | اذكر | و | ن | ي,too_few_segments
أَذْكُرْكُمْ,1,أذكر | كم,أ | ذكر | كم,too_few_segments
